math_marks,english_marks,science_marks,interest,budget_preference,location_preference,learning_style,career_goal
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
67,72,70,Education,Balanced,Western Cape,Hands-on Practical,Quick Employment
90,85,88,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
75,80,78,Social Sciences,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
85,87,90,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
68,74,70,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
92,88,91,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
77,80,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
80,85,83,Engineering,Balanced,Gauteng,Flexible Learning,Long-term Growth
65,70,68,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,91,87,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,78,75,Science,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
81,83,80,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
70,75,72,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
67,72,70,Education,Balanced,Western Cape,Hands-on Practical,Quick Employment
90,85,88,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
75,80,78,Social Sciences,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
85,87,90,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
68,74,70,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
92,88,91,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
77,80,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
80,85,83,Engineering,Balanced,Gauteng,Flexible Learning,Long-term Growth
65,70,68,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,91,87,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,78,75,Science,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
81,83,80,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
70,75,72,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
85,78,92,Technology,Balanced,Western Cape,Hands-on Practical,Quick Employment
70,82,75,Business,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
88,90,85,Engineering,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
60,65,70,Arts,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
95,88,92,Medicine,Premium Investment,Western Cape,Structured Learning,Long-term Growth
78,80,76,Science,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
82,79,85,Law,Premium Investment,Gauteng,Structured Learning,Entrepreneurial
67,72,70,Education,Balanced,Western Cape,Hands-on Practical,Quick Employment
90,85,88,Environment,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
75,80,78,Social Sciences,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
85,87,90,Mathematics,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
68,74,70,Sports,Balanced,Gauteng,Flexible Learning,Quick Employment
92,88,91,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
77,80,79,Business,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
80,85,83,Engineering,Balanced,Gauteng,Flexible Learning,Long-term Growth
65,70,68,Arts,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
89,91,87,Medicine,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
73,78,75,Science,Balanced,Anywhere in SA,Flexible Learning,Quick Employment
81,83,80,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
70,75,72,Education,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
88,72,83,Sports,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
74,89,89,Engineering,Budget Conscious,Anywhere in SA,Hands-on Practical,Quick Employment
67,82,73,Environment,Balanced,Other Provinces,Hands-on Practical,Entrepreneurial
80,78,65,Education,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
78,91,62,Medicine,Balanced,Western Cape,Structured Learning,Quick Employment
82,89,75,Education,Balanced,Other Provinces,Flexible Learning,Quick Employment
70,88,66,Environment,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
70,88,73,Medicine,Premium Investment,Gauteng,Structured Learning,Long-term Growth
83,89,68,Medicine,Premium Investment,Kwazulu-Natal,Structured Learning,Quick Employment
95,75,74,Engineering,Balanced,Kwazulu-Natal,Flexible Learning,Quick Employment
83,78,80,Education,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
62,77,94,Social Sciences,Balanced,Western Cape,Structured Learning,Long-term Growth
81,60,61,Technology,Balanced,Other Provinces,Flexible Learning,Long-term Growth
61,73,86,Education,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
83,61,61,Law,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
89,87,94,Law,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
61,89,77,Medicine,Balanced,Western Cape,Structured Learning,Entrepreneurial
80,63,73,Technology,Premium Investment,Western Cape,Structured Learning,Entrepreneurial
92,60,79,Business,Budget Conscious,Anywhere in SA,Structured Learning,Entrepreneurial
71,67,77,Environment,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
81,88,69,Arts,Budget Conscious,Anywhere in SA,Structured Learning,Quick Employment
84,62,84,Technology,Budget Conscious,Gauteng,Flexible Learning,Long-term Growth
86,91,61,Arts,Balanced,Other Provinces,Flexible Learning,Quick Employment
87,69,84,Education,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
75,69,92,Education,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
74,78,95,Arts,Balanced,Other Provinces,Hands-on Practical,Quick Employment
62,93,90,Sports,Premium Investment,Other Provinces,Hands-on Practical,Quick Employment
66,92,73,Environment,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
80,82,60,Technology,Balanced,Gauteng,Flexible Learning,Quick Employment
68,87,75,Business,Budget Conscious,Other Provinces,Flexible Learning,Quick Employment
77,91,62,Medicine,Balanced,Other Provinces,Structured Learning,Quick Employment
63,66,94,Engineering,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
84,88,65,Education,Premium Investment,Anywhere in SA,Structured Learning,Quick Employment
73,67,84,Law,Balanced,Gauteng,Structured Learning,Entrepreneurial
68,60,72,Environment,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
85,62,93,Engineering,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
61,83,67,Business,Premium Investment,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
79,82,80,Science,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
87,67,93,Mathematics,Premium Investment,Gauteng,Structured Learning,Long-term Growth
66,62,63,Medicine,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
67,92,84,Education,Balanced,Kwazulu-Natal,Flexible Learning,Entrepreneurial
94,87,74,Medicine,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
73,67,63,Sports,Balanced,Western Cape,Hands-on Practical,Quick Employment
76,93,71,Engineering,Premium Investment,Other Provinces,Hands-on Practical,Long-term Growth
95,94,91,Medicine,Balanced,Gauteng,Structured Learning,Quick Employment
63,91,91,Mathematics,Budget Conscious,Other Provinces,Structured Learning,Long-term Growth
61,83,87,Science,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
65,73,72,Engineering,Balanced,Kwazulu-Natal,Structured Learning,Quick Employment
63,91,90,Education,Premium Investment,Western Cape,Hands-on Practical,Quick Employment
88,75,73,Technology,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
77,63,79,Law,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
85,80,77,Engineering,Balanced,Other Provinces,Flexible Learning,Long-term Growth
93,73,88,Social Sciences,Premium Investment,Western Cape,Structured Learning,Entrepreneurial
69,90,65,Sports,Budget Conscious,Kwazulu-Natal,Structured Learning,Quick Employment
95,77,91,Science,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
73,66,88,Sports,Premium Investment,Kwazulu-Natal,Structured Learning,Long-term Growth
90,69,61,Engineering,Balanced,Anywhere in SA,Flexible Learning,Long-term Growth
74,66,82,Engineering,Balanced,Other Provinces,Structured Learning,Quick Employment
67,92,78,Social Sciences,Balanced,Anywhere in SA,Hands-on Practical,Entrepreneurial
73,82,90,Education,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
82,80,64,Sports,Budget Conscious,Anywhere in SA,Hands-on Practical,Quick Employment
80,78,78,Engineering,Balanced,Western Cape,Hands-on Practical,Long-term Growth
75,78,93,Law,Balanced,Western Cape,Flexible Learning,Long-term Growth
77,95,69,Medicine,Budget Conscious,Other Provinces,Structured Learning,Entrepreneurial
83,88,84,Education,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
85,77,61,Law,Budget Conscious,Gauteng,Structured Learning,Long-term Growth
84,61,70,Education,Budget Conscious,Other Provinces,Hands-on Practical,Quick Employment
88,60,90,Law,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
74,64,74,Mathematics,Budget Conscious,Anywhere in SA,Structured Learning,Entrepreneurial
60,79,68,Science,Balanced,Western Cape,Structured Learning,Quick Employment
84,70,82,Law,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
66,61,78,Arts,Premium Investment,Anywhere in SA,Structured Learning,Entrepreneurial
68,62,68,Law,Budget Conscious,Anywhere in SA,Structured Learning,Long-term Growth
83,82,94,Technology,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
60,71,80,Technology,Premium Investment,Gauteng,Flexible Learning,Quick Employment
67,79,68,Environment,Premium Investment,Other Provinces,Structured Learning,Entrepreneurial
83,64,87,Arts,Budget Conscious,Other Provinces,Hands-on Practical,Long-term Growth
70,89,66,Arts,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
76,68,75,Medicine,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
67,93,75,Arts,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
94,94,92,Medicine,Premium Investment,Other Provinces,Hands-on Practical,Entrepreneurial
94,81,63,Environment,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
92,83,63,Environment,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
64,76,76,Science,Budget Conscious,Other Provinces,Hands-on Practical,Long-term Growth
87,69,88,Technology,Premium Investment,Western Cape,Structured Learning,Long-term Growth
66,89,95,Law,Balanced,Anywhere in SA,Flexible Learning,Entrepreneurial
68,82,94,Law,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
67,91,66,Social Sciences,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
71,76,86,Social Sciences,Premium Investment,Western Cape,Structured Learning,Entrepreneurial
93,76,87,Business,Balanced,Other Provinces,Hands-on Practical,Long-term Growth
92,73,81,Education,Premium Investment,Western Cape,Hands-on Practical,Quick Employment
82,68,73,Science,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
83,61,66,Business,Balanced,Gauteng,Hands-on Practical,Quick Employment
94,84,81,Business,Balanced,Western Cape,Flexible Learning,Quick Employment
81,68,64,Engineering,Budget Conscious,Western Cape,Hands-on Practical,Quick Employment
86,81,61,Engineering,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
94,63,86,Sports,Balanced,Anywhere in SA,Structured Learning,Entrepreneurial
60,85,80,Business,Premium Investment,Anywhere in SA,Flexible Learning,Entrepreneurial
94,88,74,Arts,Budget Conscious,Other Provinces,Structured Learning,Long-term Growth
73,93,80,Education,Budget Conscious,Kwazulu-Natal,Structured Learning,Entrepreneurial
62,82,69,Science,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
60,70,82,Business,Budget Conscious,Gauteng,Hands-on Practical,Entrepreneurial
64,65,64,Mathematics,Budget Conscious,Kwazulu-Natal,Flexible Learning,Long-term Growth
85,77,60,Law,Balanced,Gauteng,Hands-on Practical,Quick Employment
73,80,72,Education,Premium Investment,Anywhere in SA,Flexible Learning,Long-term Growth
86,95,80,Engineering,Budget Conscious,Gauteng,Hands-on Practical,Quick Employment
68,93,85,Sports,Premium Investment,Gauteng,Flexible Learning,Quick Employment
74,76,80,Law,Premium Investment,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
74,84,77,Engineering,Balanced,Kwazulu-Natal,Flexible Learning,Quick Employment
85,71,91,Engineering,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
72,82,95,Education,Balanced,Western Cape,Flexible Learning,Entrepreneurial
91,81,76,Engineering,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
91,80,94,Mathematics,Balanced,Other Provinces,Hands-on Practical,Quick Employment
63,86,70,Environment,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
89,90,80,Sports,Budget Conscious,Anywhere in SA,Hands-on Practical,Long-term Growth
82,65,85,Technology,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
74,86,63,Environment,Premium Investment,Western Cape,Flexible Learning,Entrepreneurial
88,93,93,Technology,Balanced,Anywhere in SA,Hands-on Practical,Long-term Growth
95,71,77,Social Sciences,Budget Conscious,Gauteng,Flexible Learning,Quick Employment
72,66,94,Social Sciences,Premium Investment,Kwazulu-Natal,Structured Learning,Entrepreneurial
91,69,88,Engineering,Balanced,Other Provinces,Hands-on Practical,Entrepreneurial
66,76,88,Science,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
81,85,80,Science,Budget Conscious,Other Provinces,Hands-on Practical,Long-term Growth
87,80,72,Technology,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
61,87,76,Law,Budget Conscious,Gauteng,Hands-on Practical,Long-term Growth
65,61,68,Education,Premium Investment,Kwazulu-Natal,Flexible Learning,Entrepreneurial
87,60,60,Engineering,Budget Conscious,Kwazulu-Natal,Structured Learning,Long-term Growth
87,95,61,Education,Balanced,Other Provinces,Hands-on Practical,Quick Employment
79,85,88,Environment,Premium Investment,Western Cape,Flexible Learning,Long-term Growth
89,88,92,Science,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
70,80,69,Arts,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
87,70,80,Sports,Budget Conscious,Western Cape,Hands-on Practical,Long-term Growth
84,70,87,Environment,Premium Investment,Gauteng,Structured Learning,Quick Employment
92,95,70,Sports,Budget Conscious,Gauteng,Structured Learning,Entrepreneurial
60,94,93,Mathematics,Balanced,Anywhere in SA,Hands-on Practical,Quick Employment
86,93,67,Environment,Budget Conscious,Other Provinces,Flexible Learning,Entrepreneurial
72,83,81,Technology,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
62,81,67,Mathematics,Balanced,Kwazulu-Natal,Flexible Learning,Long-term Growth
65,64,74,Medicine,Balanced,Gauteng,Hands-on Practical,Quick Employment
67,92,76,Environment,Balanced,Western Cape,Flexible Learning,Entrepreneurial
86,95,82,Mathematics,Balanced,Other Provinces,Structured Learning,Long-term Growth
68,79,83,Engineering,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
92,78,78,Sports,Balanced,Gauteng,Structured Learning,Entrepreneurial
83,94,64,Business,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
74,76,91,Business,Balanced,Western Cape,Hands-on Practical,Entrepreneurial
91,93,60,Engineering,Premium Investment,Western Cape,Hands-on Practical,Entrepreneurial
91,68,82,Medicine,Balanced,Other Provinces,Flexible Learning,Entrepreneurial
83,85,67,Medicine,Premium Investment,Other Provinces,Flexible Learning,Long-term Growth
71,61,72,Technology,Balanced,Other Provinces,Structured Learning,Entrepreneurial
61,68,67,Science,Balanced,Kwazulu-Natal,Flexible Learning,Quick Employment
62,68,82,Education,Balanced,Western Cape,Flexible Learning,Long-term Growth
76,76,60,Sports,Premium Investment,Gauteng,Hands-on Practical,Quick Employment
61,60,83,Medicine,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
61,84,94,Arts,Balanced,Other Provinces,Structured Learning,Quick Employment
87,84,83,Technology,Budget Conscious,Western Cape,Flexible Learning,Entrepreneurial
82,94,76,Social Sciences,Balanced,Other Provinces,Structured Learning,Entrepreneurial
91,62,64,Law,Premium Investment,Kwazulu-Natal,Hands-on Practical,Long-term Growth
92,89,79,Social Sciences,Balanced,Kwazulu-Natal,Structured Learning,Long-term Growth
60,93,80,Technology,Premium Investment,Other Provinces,Flexible Learning,Entrepreneurial
78,71,90,Sports,Premium Investment,Western Cape,Hands-on Practical,Long-term Growth
61,78,95,Mathematics,Premium Investment,Western Cape,Flexible Learning,Quick Employment
85,76,70,Environment,Balanced,Western Cape,Hands-on Practical,Long-term Growth
91,69,74,Education,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
65,71,78,Law,Premium Investment,Other Provinces,Flexible Learning,Quick Employment
91,75,66,Social Sciences,Balanced,Western Cape,Flexible Learning,Long-term Growth
63,83,87,Law,Premium Investment,Kwazulu-Natal,Hands-on Practical,Entrepreneurial
70,78,64,Arts,Balanced,Gauteng,Hands-on Practical,Quick Employment
76,67,64,Arts,Premium Investment,Gauteng,Flexible Learning,Entrepreneurial
83,90,89,Mathematics,Budget Conscious,Western Cape,Structured Learning,Quick Employment
64,80,91,Arts,Budget Conscious,Gauteng,Flexible Learning,Entrepreneurial
93,76,67,Technology,Premium Investment,Gauteng,Hands-on Practical,Entrepreneurial
65,82,69,Education,Budget Conscious,Anywhere in SA,Flexible Learning,Long-term Growth
81,75,91,Sports,Balanced,Kwazulu-Natal,Structured Learning,Entrepreneurial
70,65,87,Mathematics,Budget Conscious,Kwazulu-Natal,Flexible Learning,Long-term Growth
75,67,76,Technology,Premium Investment,Anywhere in SA,Hands-on Practical,Quick Employment
92,84,90,Business,Premium Investment,Anywhere in SA,Flexible Learning,Entrepreneurial
68,77,67,Environment,Balanced,Gauteng,Hands-on Practical,Entrepreneurial
65,84,84,Environment,Premium Investment,Other Provinces,Hands-on Practical,Quick Employment
75,71,68,Arts,Balanced,Gauteng,Flexible Learning,Quick Employment
88,74,61,Business,Budget Conscious,Anywhere in SA,Hands-on Practical,Entrepreneurial
62,85,74,Medicine,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Quick Employment
79,85,62,Medicine,Balanced,Gauteng,Structured Learning,Long-term Growth
95,91,95,Sports,Balanced,Other Provinces,Structured Learning,Quick Employment
78,69,63,Arts,Premium Investment,Gauteng,Structured Learning,Quick Employment
85,75,73,Social Sciences,Budget Conscious,Western Cape,Structured Learning,Entrepreneurial
62,66,84,Technology,Balanced,Gauteng,Hands-on Practical,Long-term Growth
78,76,69,Arts,Budget Conscious,Anywhere in SA,Flexible Learning,Quick Employment
79,82,80,Science,Balanced,Kwazulu-Natal,Hands-on Practical,Long-term Growth
91,85,95,Law,Budget Conscious,Kwazulu-Natal,Hands-on Practical,Long-term Growth
66,80,71,Sports,Premium Investment,Anywhere in SA,Hands-on Practical,Long-term Growth
